id,from_visit,place_id,visit_date,visit_type,session
64,63,21,1571695634414595,1,0
65,22,31,1571695640254252,1,0
66,22,31,1571696067876283,1,0
67,0,31,1571696077769812,1,0
68,0,48,1571696230359366,2,0
69,67,31,1571696581879826,9,0
70,69,49,1571696601393594,1,0
71,22,31,1571696818155524,1,0
72,71,49,1571696819821893,1,0
73,72,31,1571696823246265,1,0
74,73,49,1571696825951878,1,0
75,0,50,1571696829314529,1,0
76,75,31,1571696833177901,1,0
77,76,51,1571696835704901,1,0
78,77,52,1571696844659099,1,0
79,78,53,1571696848109339,1,0
80,79,54,1571696850508291,1,0
81,0,54,1571696854884658,2,0
82,81,55,1571696864107116,1,0
83,82,56,1571696891214489,1,0
84,83,20,1571696891222550,6,0
85,0,57,1571697043851697,2,0
86,0,58,1571697053313026,1,0
87,0,21,1571697397145795,2,0
88,22,31,1571697398788731,1,0
89,88,49,1571697402473135,1,0
90,88,59,1571697423431347,1,0
91,90,56,1571697449895799,1,0
92,91,20,1571697449907804,6,0
93,0,14,1571698256121298,2,0
94,0,60,1571698306396703,2,0
95,0,61,1571698310820367,1,0
97,0,63,1571698327619401,1,0
98,0,64,1571698336845220,1,0
99,0,65,1571748262277870,2,0
100,0,66,1571748267511969,1,0
101,0,67,1571805321074884,2,0
102,0,68,1571805340954739,1,0
105,0,71,1571805578160730,1,0
106,0,72,1571806207708853,1,0
107,0,73,1571806398115761,2,0
108,0,14,1571857817800221,2,0
109,108,74,1571857852835450,1,0
110,109,75,1571857855598442,1,0
111,110,76,1571858065742134,1,0
112,111,77,1571858252210425,1,0
113,112,78,1571858430580794,1,0
114,113,79,1571858435711346,1,0
115,114,80,1571858627273003,1,0
116,115,81,1571858929581296,1,0
117,116,82,1571859154372602,1,0
118,117,83,1571859375194456,1,0
119,118,84,1571859583517540,1,0
120,0,85,1571866809841465,2,0
121,0,86,1571866812228369,1,0
122,0,87,1571866868750047,2,0
123,0,88,1571866872245784,1,0
124,0,89,1571866896580364,1,0
125,0,90,1571866961506020,1,0
126,125,91,1571866970450590,1,0
127,126,92,1571866983654473,1,0
128,0,93,1572005093485064,2,0
129,128,94,1572005098179668,1,0
130,0,95,1572018860720948,2,0
131,0,96,1572020250031475,2,0
132,131,97,1572020260693652,1,0
133,132,98,1572020314865926,1,0
134,0,99,1572020460245438,2,0
136,133,101,1572020510915921,1,0
137,136,102,1572020542928463,1,0
138,0,103,1572020686052063,2,0
140,0,105,1572020724374256,1,0
141,0,14,1572020809558314,2,0
142,141,106,1572020824518774,1,0
143,0,107,1572027745361117,2,0
144,0,108,1572027750755124,1,0
145,0,109,1572027853828211,2,0
146,0,110,1572027857783984,1,0
147,146,111,1572027858135622,6,0
148,0,112,1572027862060736,1,0
149,0,113,1572079634576348,2,0
150,0,114,1572079638286304,1,0
151,0,115,1572080640586777,2,0
152,0,116,1572080644863217,1,0
153,0,117,1572081370358056,2,0
154,0,118,1572081399598387,1,0
155,154,119,1572081418781458,1,0
156,155,120,1572081425669428,1,0
157,0,14,1572081619733473,2,0
158,157,121,1572081781984189,1,0
159,0,14,1572082331058534,2,0
160,159,122,1572082426055121,1,0
161,159,123,1572082634728761,1,0
162,0,14,1572082792720597,2,0
163,162,124,1572082815040834,1,0
164,0,125,1572082867441998,1,0
165,164,126,1572082867602134,5,0
170,0,14,1572082900632269,2,0
171,170,131,1572083022324945,1,0
172,171,132,1572083187168318,1,0
173,172,133,1572083238207607,1,0
174,173,134,1572083386057926,1,0
175,174,135,1572083497060977,1,0
176,175,136,1572083714341805,1,0
177,0,14,1572084291137686,2,0
178,177,137,1572084305144139,1,0
179,178,138,1572084333291388,1,0
184,183,143,1572084813397794,1,0
185,184,137,1572084813912223,6,0
186,185,144,1572084832411777,1,0
187,186,145,1572084906785414,1,0
188,0,146,1572084951851593,2,0
189,0,147,1572084960633735,1,0
190,189,148,1572085150297705,1,0
191,187,149,1572085274574302,1,0
192,191,150,1572085283586654,1,0
193,0,151,1572087424475063,1,0
194,193,152,1572087435264846,1,0
199,198,156,1572087484398826,6,0
200,0,157,1572091618782625,2,0
201,0,158,1572108461187027,1,0
202,201,159,1572108523027515,1,0
203,202,160,1572108524016664,6,0
206,205,159,1572108531167251,6,0
207,206,163,1572109051545118,1,0
208,0,164,1572113302859082,1,0
209,0,165,1572113391953276,1,0
210,209,166,1572113576260319,1,0
211,210,167,1572113782606261,1,0
212,211,168,1572113881260971,1,0
213,212,169,1572113905306741,1,0
214,0,14,1572114739140440,2,0
215,214,149,1572114749228358,1,0
216,215,165,1572114762214590,1,0
217,216,170,1572114771202067,1,0
218,217,171,1572115212975543,1,0
219,218,172,1572115563519321,1,0
220,219,173,1572115604004683,1,0
221,220,174,1572116014791440,1,0
222,0,14,1572116505464555,2,0
223,222,175,1572116510105640,1,0
224,223,176,1572116514059890,1,0
225,0,14,1572177271426592,2,0
226,225,149,1572177913559385,1,0
227,226,165,1572177920793865,1,0
228,227,177,1572177936098532,1,0
229,228,178,1572178224700100,1,0
230,229,179,1572178245606648,1,0
231,230,180,1572178593963663,1,0
232,0,14,1572178768975539,2,0
233,232,181,1572178783641440,1,0
234,233,182,1572178797659922,1,0
235,234,183,1572178810323151,1,0
236,231,184,1572178955518883,1,0
237,236,185,1572179044245326,1,0
238,235,14,1572179514950594,1,0
239,0,186,1572179540681937,2,0
240,0,187,1572179551353963,1,0
241,240,188,1572179552238758,6,0
242,0,189,1572179771592244,2,0
243,238,190,1572179804922772,1,0
244,238,191,1572179832388338,1,0
245,244,192,1572179891586482,1,0
246,245,193,1572179896063675,1,0
247,246,14,1572180035424536,1,0
248,247,194,1572180038968991,1,0
249,248,195,1572180077017959,1,0
250,0,196,1572180463236556,2,0
251,0,197,1572180466942934,1,0
252,0,198,1572180653604497,2,0
253,0,199,1572180659342772,1,0
254,0,200,1572180834382044,2,0
255,0,201,1572180836951001,1,0
256,0,202,1572181079084228,2,0
257,256,203,1572181084975339,1,0
258,257,204,1572181085602176,1,0
259,0,205,1572181086518793,1,0
260,0,206,1572181713868928,2,0
262,0,208,1572181723847217,1,0
263,262,209,1572181726540611,1,0
265,0,14,1572192979902584,2,0
266,265,176,1572193099536510,1,0
267,266,211,1572193149413529,1,0
268,0,14,1572193247189881,2,0
269,268,212,1572193257387537,1,0
270,268,213,1572193449443330,1,0
271,270,214,1572193458831270,1,0
272,0,14,1572201559402548,2,0
273,0,215,1572252527547418,2,0
274,0,216,1572252538381755,1,0
275,0,14,1572253720843612,2,0
276,275,217,1572253753712319,1,0
277,276,218,1572253863742654,1,0
278,277,219,1572253875124854,1,0
279,278,220,1572253913628300,1,0
280,0,221,1572254085740273,2,0
281,0,222,1572254091839947,1,0
282,281,223,1572254102847063,1,0
283,282,224,1572254396904135,1,0
284,0,225,1572255585750508,1,0
285,0,14,1572256025241468,2,0
286,285,226,1572256036832109,1,0
287,286,220,1572256041830525,1,0
288,0,227,1572274558254370,2,0
289,288,228,1572274569056649,1,0
291,0,230,1572274914515253,1,0
292,290,231,1572274920057413,1,0
293,0,232,1572275125158378,2,0
294,0,233,1572275135948993,1,0
297,296,236,1572275241817321,1,0
298,0,237,1572275254192741,1,0
299,0,238,1572278152667158,2,0
300,0,239,1572278156750955,1,0
301,300,240,1572278178252816,1,0
302,301,241,1572278232082789,1,0
303,302,242,1572278249228908,8,0
305,0,244,1572336321421782,2,0
306,0,245,1572336326597249,1,0
307,306,246,1572336429613476,1,0
308,0,10,1572338569329042,1,0
309,308,247,1572338570193577,6,0
310,0,10,1572338575512838,1,0
311,0,248,1572339360141116,2,0
312,0,249,1572339366033208,1,0
313,312,250,1572339366585554,6,0
314,0,251,1572340948084536,2,0
315,0,252,1572342561216191,2,0
316,0,253,1572342566209874,1,0
317,0,14,1572344115800624,2,0
318,317,254,1572344143332779,1,0
319,317,255,1572344364685838,1,0
320,319,14,1572344695049663,1,0
321,320,256,1572344736718432,1,0
322,321,14,1572344804583536,1,0
323,322,257,1572344891668013,1,0
324,323,14,1572344972012714,1,0
325,324,258,1572344982765215,1,0
326,325,14,1572345079361449,1,0
327,326,259,1572345092302343,1,0
328,326,260,1572345147289822,1,0
329,328,261,1572345253266480,1,0
330,0,14,1572347201026627,2,0
331,330,262,1572347215812038,1,0
332,331,263,1572347297843268,1,0
333,332,264,1572347512517618,1,0
334,333,14,1572347632642932,1,0
335,334,265,1572347706959968,1,0
336,335,14,1572347810279191,1,0
337,0,14,1572349697284541,2,0
338,337,266,1572349744881044,1,0
339,338,267,1572349913404471,1,0
340,339,268,1572350063333660,1,0
341,340,269,1572350372234074,1,0
342,0,270,1572352795984550,2,0
345,0,273,1572352867424575,1,0
346,0,274,1572355943521289,2,0
347,0,275,1572355955951387,1,0
348,346,276,1572356062521903,1,0
349,0,277,1572356111313917,2,0
350,0,278,1572356124897922,1,0
351,350,279,1572356141925847,1,0
352,351,280,1572356145169577,1,0
353,352,281,1572356146367999,1,0
354,0,282,1572356233469708,2,0
356,0,284,1572356325522209,1,0
357,356,285,1572356326331483,6,0
358,357,286,1572356327402731,5,0
361,0,289,1572356437169436,2,0
362,0,290,1572356441572310,1,0
363,0,10,1572360254188319,1,0
364,363,291,1572360256214955,6,0
365,0,10,1572360261117332,1,0
366,0,292,1572360270985898,2,0
367,0,293,1572360276624276,1,0
368,0,294,1572362160977462,2,0
369,0,295,1572362167633000,1,0
370,0,296,1572362564468842,2,0
371,0,297,1572362569309980,1,0
372,0,14,1572377387037725,2,0
373,372,298,1572377425773491,1,0
374,372,299,1572377458765155,1,0
375,372,300,1572377599488431,1,0
376,0,301,1572378552981739,1,0
377,0,302,1572378839441198,2,0
378,0,14,1572380043912553,2,0
379,0,14,1572380048879770,1,0
380,0,10,1572403913629173,1,0
381,380,303,1572403913678461,6,0
382,0,10,1572403916789075,1,0
383,0,304,1572605908237298,2,0
384,0,305,1572605915183856,1,0
385,0,306,1572613163138613,2,0
386,0,307,1572613179076750,2,0
387,0,308,1572613182678278,1,0
388,386,309,1572613198498461,1,0
389,387,310,1572613320839502,1,0
390,0,14,1572619356841889,2,0
391,390,311,1572619442459855,1,0
392,391,312,1572619452933971,1,0
393,0,14,1572620361511981,1,0
394,0,313,1572620942474330,2,0
395,0,314,1572621002465772,2,0
396,0,315,1572621006929195,1,0
397,0,316,1572621607502521,2,0
398,0,317,1572621615081990,1,0
399,0,318,1572621740583865,2,0
402,0,321,1572623214829357,2,0
403,0,322,1572623296319257,1,0
404,403,323,1572623299689746,6,0
405,404,324,1572623302807215,6,0
407,406,326,1572623303913147,6,0
408,407,327,1572623304281728,6,0
409,408,328,1572623305440789,6,0
410,0,329,1572623319201934,1,0
411,0,330,1572623358178320,1,0
412,0,331,1572623369332636,1,0
413,0,329,1572623409287897,1,0
414,0,14,1572625075648042,2,0
415,414,332,1572625081777992,1,0
416,415,333,1572625323588234,1,0
417,416,334,1572625373877402,1,0
418,417,335,1572625440327217,1,0
419,418,336,1572625703776085,1,0
420,0,337,1572637239759606,2,0
421,0,338,1572637244165392,1,0
422,421,339,1572637251312137,1,0
423,421,340,1572637278542908,1,0
426,0,343,1572637332922312,2,0
427,0,344,1572637339326165,1,0
428,427,345,1572637348731494,1,0
429,428,346,1572637356310636,1,0
431,428,348,1572637396532362,1,0
432,431,349,1572637438827830,1,0
433,0,350,1572637620362066,2,0
435,0,352,1572637628413371,1,0
437,0,354,1572637686565308,1,0
438,437,355,1572637693952850,1,0
440,439,357,1572637724938045,6,0
442,437,359,1572638147954313,1,0
443,437,360,1572638166164319,1,0
445,0,362,1572638280504125,1,0
447,0,364,1572638315905973,1,0
448,447,365,1572638345499148,1,0
449,448,366,1572638346542257,6,0
452,0,369,1572638377856567,1,0
454,453,371,1572638406875612,6,0
456,452,373,1572638705513217,1,0
457,456,374,1572638721204001,1,0
458,0,375,1572638748350802,2,0
459,0,376,1572638754157758,1,0
460,0,377,1572638804490098,2,0
461,0,310,1572638810509343,1,0
462,0,378,1572638997213461,1,0
463,0,379,1572639217148598,1,0
465,0,354,1572639255379047,1,0
466,465,381,1572639272690770,1,0
468,0,10,1572647793023558,1,0
469,468,383,1572647793672668,6,0
470,0,10,1572647797841383,1,0
471,0,14,1572647805898780,2,0
472,471,384,1572647897897265,1,0
473,472,385,1572647908206979,1,0
474,472,386,1572647935180825,1,0
475,474,387,1572647946670499,1,0
476,474,14,1572648009817004,1,0
477,0,14,1572690457298716,2,0
478,477,388,1572690483499627,1,0
479,478,389,1572690504199651,1,0
480,0,329,1572690816386627,2,0
481,0,390,1572690826065796,1,0
483,482,392,1572690844207440,6,0
484,0,330,1572690863735062,1,0
485,0,393,1572690967699724,1,0
486,0,329,1572690989617826,1,0
487,0,390,1572694320492822,1,0
488,0,329,1572694414239926,1,0
489,0,329,1572704942848755,2,0
490,0,330,1572704983877153,1,0
491,0,394,1572705021093695,1,0
492,0,329,1572705034408062,1,0
493,0,395,1572714002509869,2,0
494,0,329,1572714015497523,2,0
495,0,396,1572714026936335,1,0
496,0,330,1572714041102141,1,0
497,0,329,1572714049823849,1,0
498,0,397,1572714051892542,1,0
501,0,397,1572714079990380,1,0
503,0,14,1572725705818321,2,0
504,503,266,1572725723345984,1,0
505,0,400,1572725785008509,2,0
506,0,401,1572725801588155,1,0
507,0,402,1572725848595699,2,0
508,504,403,1572725849455079,1,0
509,0,404,1572725883855659,1,0
511,508,406,1572726259084948,1,0
512,511,407,1572726480653954,1,0
513,512,408,1572726757369383,1,0
514,513,409,1572726951216365,1,0
515,0,410,1572727039195720,2,0
516,514,411,1572727246991258,1,0
517,516,412,1572727437572007,1,0
518,517,413,1572727678270549,1,0
519,518,414,1572728124784627,1,0
520,0,415,1572728159781448,2,0
521,0,416,1572728164673946,1,0
522,0,14,1572731089912427,2,0
523,522,417,1572731235487135,1,0
524,523,14,1572731855072934,1,0
525,0,14,1572802492621747,2,0
526,525,418,1572802535013226,1,0
527,0,10,1572810435158636,1,0
528,527,419,1572810435591717,6,0
529,0,10,1572810439796145,1,0
530,0,420,1572810484835939,2,0
531,0,421,1572810489013699,1,0
532,0,14,1572853386062580,2,0
533,532,422,1572853524676670,1,0
534,532,423,1572853744346860,1,0
535,534,424,1572853762782951,1,0
536,535,425,1572853787816935,1,0
537,0,14,1572855754455248,1,0
538,537,426,1572855766533791,1,0
539,538,427,1572855814988117,1,0
540,539,14,1572855914445784,1,0
541,540,428,1572855932017020,1,0
542,0,429,1572870112986314,2,0
543,542,430,1572870118218439,1,0
544,543,431,1572870124895915,1,0
547,546,434,1572870142517884,1,0
549,548,436,1572870143002405,6,0
550,549,437,1572870143363957,6,0
551,550,438,1572870188798150,1,0
552,551,439,1572870225559241,1,0
553,0,440,1572870276134764,2,0
554,0,441,1572870296134340,1,0
555,0,442,1572870354068971,2,0
561,560,448,1572870511932563,1,0
567,0,454,1572870611185798,1,0
570,0,457,1572870808938328,1,0
573,0,460,1572872158134465,2,0
574,0,461,1572872176263630,1,0
576,0,463,1572872411452789,1,0
577,0,464,1572872631751822,1,0
578,577,465,1572872767641953,1,0
579,578,464,1572872771026131,1,0
580,0,14,1572872790070480,2,0
581,580,466,1572872812369844,1,0
582,581,467,1572872821859837,1,0
583,582,468,1572872838556613,1,0
584,0,14,1572872910501305,2,0
585,584,469,1572872929868789,1,0
586,585,14,1572872960087903,1,0
587,586,470,1572872989736229,1,0
588,587,423,1572873231143136,1,0
589,588,471,1572873273456345,1,0
590,0,10,1572877019552756,1,0
591,590,472,1572877019704005,6,0
592,0,10,1572877022797249,1,0
593,0,14,1572877025592505,9,0
594,0,118,1572877042269253,1,0
595,594,119,1572877053412133,1,0
596,595,473,1572877069407472,1,0
597,0,321,1572877077155931,2,0
598,597,322,1572877084023931,1,0
599,598,323,1572877086766784,6,0
600,599,328,1572877088785827,6,0
601,0,329,1572877092033768,1,0
602,0,474,1572877094712876,1,0
603,596,475,1572877102958778,1,0
604,0,476,1572877137982051,2,0
606,0,478,1572877175588974,1,0
608,0,480,1572877274924380,2,0
620,0,492,1572877622435851,1,0
621,0,493,1572877631415873,1,0
622,621,494,1572877636588167,1,0
623,622,493,1572877639439333,1,0
625,0,496,1572877671966406,1,0
626,625,497,1572877675566188,1,0
627,626,498,1572877743993246,5,0
628,0,499,1572877803549941,2,0
629,0,500,1572877906290306,1,0
630,0,501,1572879340464773,2,0
632,0,502,1572879379839074,2,0
633,0,503,1572879388681655,1,0
635,634,505,1572879423658019,1,0
636,635,506,1572879516386662,1,0
637,636,507,1572879587000001,1,0
638,0,14,1572879624040374,2,0
639,637,508,1572879635890778,1,0
640,0,509,1572879675454453,2,0
641,0,510,1572879688975183,1,0
642,641,511,1572879710110801,1,0
643,642,512,1572879713012310,1,0
644,643,513,1572879722750261,1,0
645,643,514,1572879741788193,1,0
646,643,515,1572879778513018,1,0
647,646,516,1572879780962266,1,0
649,647,518,1572879973717142,1,0
650,0,519,1572880294170323,1,0
651,0,14,1572880531842967,9,0
652,651,520,1572880689109923,1,0
653,652,521,1572880709592673,1,0
654,0,522,1572880738051181,2,0
655,0,523,1572880836061136,2,0
656,0,524,1572880854704730,2,0
657,0,525,1572880878364610,1,0
658,0,10,1572962840981518,1,0
659,658,526,1572962841069487,6,0
660,0,10,1572962844608286,1,0
661,0,527,1572962874474167,1,0
662,0,528,1572963449589382,2,0
663,0,529,1572963454417471,1,0
664,663,530,1572963461093349,1,0
665,0,531,1572963495107162,1,0
666,0,14,1572963774441840,2,0
667,0,532,1572963815109880,2,0
668,666,533,1572963822460038,1,0
669,0,534,1572963829500635,1,0
672,671,537,1572964131825503,1,0
673,672,534,1572964135448039,1,0
674,0,329,1572965168500880,2,0
675,0,538,1572965177033200,1,0
676,0,539,1572965272022841,1,0
677,676,540,1572965273382916,1,0
678,0,541,1572965369862937,1,0
679,678,542,1572965370669840,5,0
680,0,543,1572965795124850,1,0
681,680,544,1572965813228703,1,0
682,0,14,1572966036244123,2,0
683,0,534,1572966087342387,2,0
684,682,545,1572966103022549,1,0
685,684,546,1572966108073332,1,0
686,684,14,1572966283408014,1,0
687,686,547,1572966356105684,1,0
688,687,548,1572966374555256,1,0
689,688,14,1572966741018104,1,0
690,689,549,1572966789113430,1,0
691,0,550,1572966816047056,2,0
692,0,14,1573049131759167,2,0
693,692,551,1573049188453327,1,0
694,693,14,1573049235513373,1,0
695,694,552,1573049248423998,1,0
696,695,14,1573049276197344,1,0
697,696,553,1573049293028113,1,0
698,697,554,1573049398942859,1,0
699,697,14,1573049575013321,1,0
700,699,545,1573049591178972,1,0
701,700,555,1573049610612693,1,0
702,700,556,1573049639378857,1,0
703,700,557,1573049711534123,1,0
704,700,558,1573049719180627,1,0
705,0,559,1573049781254804,2,0
706,705,560,1573049789661779,1,0
711,700,14,1573049870613433,1,0
712,0,565,1573049982036446,2,0
713,0,566,1573049989147791,1,0
714,711,567,1573050218754172,1,0
715,711,176,1573050590116703,1,0
716,715,568,1573050648363663,1,0
717,0,569,1573050677476600,2,0
718,0,570,1573050927517639,2,0
719,0,571,1573050931672731,1,0
720,719,572,1573050939487165,1,0
726,725,571,1573050950070862,6,0
727,726,578,1573050957532546,1,0
728,727,579,1573050964442689,1,0
729,728,580,1573050964608684,6,0
734,733,585,1573050968434648,6,0
735,0,14,1573050989827247,2,0
736,735,586,1573051013023065,1,0
737,736,587,1573051024115136,1,0
738,0,588,1573063865797943,1,0
739,738,589,1573063873109929,1,0
740,739,590,1573063957743449,1,0
741,739,591,1573064117747749,1,0
742,741,592,1573064311041156,1,0
743,742,593,1573064400674589,1,0
744,743,594,1573064533220619,1,0
745,743,595,1573064763283113,1,0
746,745,596,1573064962229730,1,0
747,745,597,1573065069191446,1,0
748,745,598,1573065194948328,1,0
749,745,599,1573065380504802,1,0
750,749,600,1573065625763654,1,0
751,750,601,1573065662203418,1,0
752,0,10,1573105603759956,1,0
753,752,602,1573105603854713,6,0
754,0,14,1573105721366982,2,0
755,0,603,1573105749779023,2,0
756,0,604,1573105772892262,1,0
757,0,605,1573105786599071,1,0
758,754,606,1573105808062310,1,0
759,0,607,1573105842770107,1,0
760,0,608,1573105852141368,9,0
761,0,605,1573105875340645,1,0
762,0,609,1573105916571235,1,0
763,762,610,1573105916977523,6,0
764,758,14,1573105919716015,1,0
765,0,605,1573105935812056,1,0
766,0,611,1573105967914814,2,0
767,0,344,1573105972090494,1,0
768,767,345,1573106005586482,1,0
769,768,612,1573106015504732,1,0
771,764,613,1573106048735783,1,0
772,768,348,1573106056515776,1,0
773,771,614,1573106080769363,1,0
774,772,349,1573106101262630,1,0
775,773,615,1573106146958615,1,0
776,775,616,1573106164528027,1,0
777,776,617,1573106333619488,1,0
778,777,618,1573106404650066,1,0
779,0,619,1573106432690603,2,0
780,0,620,1573106439760265,1,0
781,0,621,1573106540650006,2,0
782,0,622,1573106545353977,1,0
783,0,605,1573106635712106,1,0
784,0,623,1573106649085749,1,0
785,0,605,1573106722774439,1,0
786,0,624,1573106769570456,1,0
787,778,625,1573106970063336,1,0
788,787,626,1573107197118869,1,0
789,788,627,1573107299935444,1,0
790,0,628,1573107377594568,1,0
791,790,629,1573107657345468,1,0
792,790,14,1573107920572994,1,0
793,792,630,1573108132579955,1,0
794,793,14,1573108434782841,1,0
795,794,631,1573108488296254,1,0
796,0,14,1573108609912038,2,0
797,796,632,1573108622107475,1,0
798,0,14,1573108795309367,2,0
799,0,633,1573109332182401,2,0
800,0,634,1573109342083424,1,0
801,0,634,1573109376573403,1,0
802,0,634,1573109400746031,1,0
803,0,635,1573109416526433,1,0
804,0,636,1573109437252819,1,0
806,0,10,1573112709540753,1,0
807,806,638,1573112709596863,6,0
808,0,639,1573112766888950,2,0
809,0,640,1573112772822430,1,0
810,0,10,1573127207242286,1,0
811,810,641,1573127207269915,6,0
812,0,10,1573127212067885,1,0
813,0,570,1573128642490536,2,0
814,813,571,1573128647001018,1,0
815,0,642,1573128658796783,2,0
816,0,643,1573128692871792,1,0
817,814,572,1573128722379371,1,0
819,816,645,1573128763801135,1,0
824,823,571,1573128945178410,6,0
825,0,571,1573128974920432,3,0
826,825,578,1573128985996918,1,0
827,826,579,1573129095725344,1,0
828,0,650,1573129249519341,2,0
829,0,651,1573129267715658,1,0
830,829,652,1573129638267425,1,0
831,0,652,1573131088364147,1,0
833,0,654,1573131622786860,2,0
834,0,96,1573139494173487,2,0
835,0,97,1573139498728274,1,0
836,835,98,1573139499714596,6,0
837,836,655,1573139512341371,1,0
838,837,656,1573139516396273,1,0
839,838,657,1573139522932000,1,0
840,839,658,1573139528682475,1,0
841,840,659,1573139533935329,1,0
842,841,660,1573139534479580,6,0
843,0,661,1573140471027103,2,0
845,0,663,1573140905473332,1,0
846,845,664,1573141391141865,1,0
847,846,665,1573141391901320,5,0
848,0,666,1573143513918545,2,0
850,0,668,1573143554962242,1,0
851,0,14,1573144227507944,2,0
852,851,669,1573144237621906,1,0
853,852,670,1573144244101656,1,0
854,853,671,1573144461617869,1,0
855,854,672,1573144466386353,1,0
856,0,663,1573145586092323,2,0
857,0,673,1573145598078866,2,0
858,0,674,1573145615242333,1,0
859,0,675,1573145624982823,2,0
860,0,676,1573145644714617,1,0
861,0,672,1573146516986415,1,0
862,861,677,1573147262103795,1,0
863,862,678,1573147265889123,1,0
864,863,679,1573148028106171,1,0
865,864,680,1573148272430650,1,0
866,864,681,1573148292865793,1,0
867,866,682,1573148296234913,1,0
868,0,683,1573148353159439,2,0
869,867,684,1573148380429030,1,0
870,869,685,1573148384477479,1,0
871,0,684,1573150895828644,1,0
872,0,686,1573151302654894,2,0
873,872,687,1573151309983224,1,0
874,873,688,1573151310050756,6,0
875,874,689,1573151329313958,1,0
876,0,690,1573151450471574,2,0
877,0,620,1573151454056880,1,0
878,0,691,1573151492953226,1,0
879,0,692,1573151511421506,1,0
880,0,693,1573152218505828,1,0
881,880,694,1573152235479675,1,0
882,0,695,1573152654590776,2,0
883,0,696,1573152663371153,1,0
884,883,697,1573152795100078,1,0
885,884,698,1573152796663822,5,0
886,885,699,1573152797096500,5,0
887,883,697,1573152809267854,1,0
888,887,698,1573152809284684,5,0
889,888,699,1573152809304577,5,0
890,0,700,1573153016757634,2,0
891,0,681,1573153238438433,1,0
892,891,701,1573153312662512,1,0
893,890,700,1573153449452454,9,0
894,0,702,1573153787155292,1,0
895,0,700,1573154535829501,9,0
896,895,703,1573154684009211,1,0
897,0,704,1573154988867041,1,0
898,896,703,1573155529832570,9,0
899,898,705,1573155533940009,1,0
900,898,706,1573155536541887,1,0
901,898,706,1573155591406144,1,0
902,898,705,1573155594630765,1,0
903,898,707,1573155597595402,1,0
904,898,707,1573155602288983,1,0
905,0,708,1573155619123472,2,0
906,905,709,1573155622298780,1,0
907,905,710,1573155624691399,1,0
908,0,711,1573155989802322,2,0
909,0,712,1573155993272406,1,0
910,0,713,1573156319032125,2,0
911,0,714,1573156322733957,1,0
912,911,715,1573156323953183,6,0
913,0,708,1573156858881786,9,0
914,0,716,1573156862349040,1,0
915,914,717,1573156862826903,5,0
916,0,718,1573156906358855,1,0
917,0,14,1573156990718375,2,0
918,917,719,1573157013439236,1,0
919,917,720,1573157484612527,1,0
920,0,721,1573157970155321,2,0
921,0,722,1573159082190495,1,0
922,921,723,1573159103827156,1,0
923,0,700,1573159970135172,2,0
924,923,706,1573160053908857,1,0
925,923,707,1573160156850244,1,0
926,923,707,1573160165061169,1,0
927,923,707,1573160596217120,1,0
928,0,724,1573160618032147,1,0
929,0,700,1573161136284305,9,0
930,0,725,1573161623246416,1,0
931,929,700,1573161963683167,9,0
932,931,700,1573162367180525,9,0
933,930,726,1573162433520034,1,0
934,933,727,1573162558977097,1,0
935,932,700,1573163183941377,9,0
936,935,707,1573163542904350,1,0
